Name/Title,Phone,Web/Link,Email,Physical Address,Information/Details,Tags
Crisis Intervention Program,866-432-8435,energyoutreach.org/cip/,,,heating emergency? receive LEAP benefits? call.,Benefits; LGBTQ
Crisis Stabilization Unit/Diversus Crisis walk in center/Lighthouse,844-493-8255,,,115 S Parkside Dr 80910,24/7 walk-ins welcome,Transportation
Cross Fire Ministries,719-447-1806,https://www.crossfireministries.org/,,"3975 N Academy Vlvd, Colroado Springs, CO 80917","Food Pantry, thrift store, utility assistance, educational opportunities: cooking, super saver saturday/financial classes, support group for addiction; must rsvp before attending cooking classes; they have a program that if you sign up you can get $50 gift card to their thrift store and one free grocery trip per week through their food pantry",Benefits; Education; Food
Cross Purpose,,https://www.crosspurpose.org/career-tracks/carpentry/,,"Denver, CO","Employment jobs/classes/employment carpentry, free certification in carpentry",Education; Employment
CWLA Child Welfare League of America,202-688-4200,cwla.org,,"Washington, DC   cwla@cwla.org","Child advocacy, training for parents, resource database, consultation for child facing agencies, Relias partnership",Education; Resource-Databases; Youth-and-Family
Dairy Queen,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dale House Project,719-471-0642,dalehouseproject.org,,"7 W Dale St, Colorado Springs, CO 80903","Offer assistance and places to live for young adults leaving foster care without permanent placement with transitional housing, youth employment, transition services, volunteers",Employment; Youth-and-Family
DAP Products,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Darden Restaurants,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dart Containers,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dave Thomas Foundation for Adoption,1-800-ASK-DTFA,davethomasfoundation.org,,"Dublin, OH, 43016  info@davethomasfoundation.org",Foundation to help with adoption and to prepare both parties for their new family,Youth-and-Family
Deer & Co,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Deer Park Spring Water Co,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Deerfield Hills Community Center,719-385-5996,http://www.coloradosprings.gov/Deerfield,,"4290 Deerfield Hills Rd, Colorado Springs, CO 80916","Mobile food pantry, everyday eats (application: https://coloradosprings.gov/system/files/2024-06/everyday-eats-application-english.pdf), elementary before and after school program in HSD2 Elementary youth programs parent handbook, community playgroup, fun events for kiddos",Education; Food; Youth-and-Family
Defend the Fatherless,,https://www.defendthefatherless.org/,,,"Offers mental health 'scholarships' to those from foster/adoptive/kinship families whom are seeking mental health services for any member of the family-providers of choice. Religious organization that offers male mentorship to those that are lacking a paternal influence concerning support and community for the emotional, educational, financial and spiritual need of the families.",Benefits; Education; Legal; Medical; Unknown; Youth-and-Family
Defense Finance and Accounting Service,888-332-7411,https://dfas.mil/,,"Military, retired & annuitant, civilian employee, contractor and vendor",Providing payment services for the department of defense,Benefits; Elderly; Employment; Veterans
Del Monte Foods,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dell Corporation,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Delta Airlines,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Delta Dental,800-610-0201,,,,Takes Medicaid,Benefits; Medical
Delta Faucets,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Denny's Inc,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dental doctors,1-855-225-1729,,,,Looking up dentists that have open appts locally that take medicaid,Benefits; Medical
Denver Indian Center,303-936-2688,denverindiancenter.org,,"4407 Morrison Rd, Denver CO 80219","All resources possibly needed, glasses, interview outfits, job classes, housing, food",Education; Employment; Food; Native-Indigenous
Department of Local Affairs,303-864-7810,doh.colorado.gov/,,"1313 Sherman St, Ste 320, Denver, CO 80203   https://doh.colorado.gov/emergency-rental-assistance","The Division of Housing partners with local communities to create housing opportunities for Coloradans who face the greatest challenges to accessing affordable, safe, and secure homes. Working with the Colorado State Housing Board, the division supports a wide range of housing efforts, including affordable housing, rental assistance vouchers, homelessness, regulation of mobile home parks and factory-built structures, and home modifications for accessibility. Also has applications for housing financial assistance",Benefits
Depression and Bipolar Support Alliance (DBSA),719-477-1515,https://www.dbsacoloradosprings.org/,,"1586 S 21st #13, Colorado Springs, CO 80904",Support Group for those with Depression and bipolar,Benefits
Destinations Career Academy of Colorado,800-705-1528,https://codca.k12.com/,,8601 Turnpike Dr Ste 100 Westminster CO 80031,"Tuition free public school; Destinations Career Academy of Colorado (Destinations) is a public online school, authorized by Julesburg School District and the CO Department of Education, approved by the NCAA, and serves students living across the entire state of Colorado. Destinations, powered by K12, helps students in grades 4–12 get a jump-start on their college and career dreams by combining dynamic core academics with authentic college and career exploration in over 20 approved Career and Technical pathways.",Education; Employment; Youth-and-Family
DHS Burial Reimbursement,719-636-0000,https://docs.google.com/document/d/12m9H8xPjrj_eMLW7LaCnXF4_HBA_tVspwxOOcuCajH4/edit?usp=sharing,,https://docs.google.com/document/d/1kossPuFm9soJRUs7_5nBovCYaKZEht5OlfLNT6xNO7Q/edit?usp=drive_link,"DHS burial assistance fund, can't find application form, please forward it to me if you find it!!!",Transportation
"DHSEM is responsible for all-hazards preparedness, mitigation, prevention, response and recovery",719-473-8477 9811 crisis line,https://www.namicoloradosprings.org/,,"1615 S Murray Blvd, C/S, CO 80916","Helping community, self, and loved ones suffering from mental illness; resource database",Resource-Databases; Unknown
DIFRC Denver Indian Family Resource Center,720-500-1020,difrc.org,,"1330 Fox Street, Suite 3, Colorado Springs, CO 80204",Family Resources for Native American Descendents in the child protection system; resource database,Native-Indigenous; Resource-Databases; Youth-and-Family
Disability Caregivers,,https://acl.gov/ltc/costs-and-who-pays/what-is-long-term-care-insurance,,,Long-term care insurance (instead of medicaid); paid family leave-contact state labor office; local area agencies on aging; vet programs; resource/how-to guide,Benefits; Employment; Medical; Youth-and-Family
Disability Employment,,https://www.opm.gov/policy-data-oversight/disability-employment/,,,Guide on how to get federal employment for those with disabilities,Benefits; Employment
Disability Jobs Training,,https://www.usa.gov/disability-jobs-training,,,Job resource database for those with mental or physical disabilities,Benefits; Education; Employment; Medical; Resource-Databases; Unknown
Disability Law services,303-722-0300   800-531-2105,https://disabilitylawco.org/we-may-be-able-help-you,,"455 Sherman St, Ste 130, Denver, CO, 80203",Low or free cost disability law,Benefits; Legal
Disability Reshources,,https://www.dol.gov/general/topic/disability,,,Resource database for those with a disability getting a job,Benefits; Employment
Disabled American Veterans,dav26co.org,dav.org,,https://www.dav.org/about-dav/,"Rides to and from medical appointments, food, benefits, DVA, Chapter 26 Membership meetings, second Tuesdays, 7 pm 6880 Palmer Park Blvd open to all vets and their guests dav26co.org",Benefits; Food; Medical; Veterans
Discharge Upgrade,,https://www.va.gov/discharge-upgrade-instructions/questions,,,"If you wish to try to upgrade your military discharge, follow the instructions and answer the questions starting on this page.",Veterans
Discover Your Recovery,,hardbeauty.life/dyr,,,"Maintaining recovery during or after any experience with the criminal justice system, Thursdays 6-7 pm MST",Legal
Discovery Cafe,719-650-5978,discoverycafe.org,,"207 East Avenue, Rifle CO 81650 or 824 Cooper Ave, Glenwood Springs, CO 81601","Resources for reentry, gardening, employment, construction experience, wifi access, cooking classes, mental health services",Education; Employment; Medical; Rural; Unknown
District 2 Adult Education,719-407-2941,https://www.hsd2.org/community/adult-education,dlondono@hsd2.org,"1520 Verde Dr, C/S, CO 80910","English as a second language, adult basic education (literacy), GED: best in county, Ms. Londono will help walk you through it step by step",Education; Transportation
District 5 VFW Warriors,,,d5vfwwarriors@gmail.com,Colorado Springs,Not for profit veteran motorcycle club,Veterans
Diversus Funding,719-572-6100,https://app.onestepsoftware.com/forms/3x371F8,,App for phone: https://app.onestepsoftware.com/forms/RtU9lGY,"Diversus funds sober living housing in El Paso County, Teller, Fremont, Park, Lake, Custer and Chaffee counties",Rural
Diversus Health,719-572-6100,https://diversushealth.org/locations/parkside/,,179 S Parkside Dr 80910  24/7: 115 S Parkside Dr emergency,"Sober living financial assistance, mental health and well-being for all CS; Restorative Services; transfer form if current sober home not working out., counseling services, addiction services, crisis services; 24 hr crisis: 1-844-493-8255 38255 (text 'TALK'), possibly a few resources for CCAR scholarships reources",Benefits; Medical; Unknown
Division of Housing,303-864-7810,,dola_doh_helpdesk@state.co.us,1313 Sherman St ste 320 Denver CO 80203,"partners with local communities to create housing opportunities for Coloradans who face the greatest challenges to accessing affordable, safe and secure homes. Working with the Colorado state housing board, the division supports a wide range of housing efforts, including affordable housing, rental assistance vouchers, homelessness, regulation fo mobile home parks and factory-built structures, and home modifications for accessibility",Benefits; Employment; Housing
Division of Professions and Occupations: File a complaint online,,dpo.colorado.gov/FileComoplaint,,N/A,If you need to report someone for malpractice (they have gone against their licensure) and can lose their license for their actions/lack thereof,Benefits; Employment
Divizio Industries,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
DOC Reentry Employment and Training Resources,,https://drive.google.com/file/d/0B4D7ltAV_jW1UjlaVm1FTXRnYldDUmJZcUhvbzl0dm9OVVdV/view?resourcekey=0-dVWBVLFHfzxgmLmsEY1U5g,,,Statewide contacts for reentry services,Education; Employment; Transportation
Doing His Time 72 Hour Fund / Colorado,303-300-3670,https://www.doinghistime.org/72-hour-fund/,,4045 Wadsworth Blvd Ste 310 Wheat Ridge 80033,"Clothes, bus tokens, job counseling, housing, food and other basic essentials are available on a needs-driven basis for all who make an appointment.",Employment; Food; Transportation; Veterans
DOLA Department of Local Affairs,,doh.colorado.gov,,,"the primary interface between the state and local communities. Provides financial support to local communities and professional and technical services to communty leaders in the areas of governance, housing, and property tax administration",Benefits
DOLA Local Community Funding Deadlines,,https://lookerstudio.google.com/reporting/6bf90675-163a-4c84-9eb8-eef9779be136/page/T7j0C,,,"Funding deadlines for housing, food, job services, medical, native populations, rural development, youth/family, veterans, transportation",Employment; Food; Medical; Native-Indigenous; Rural; Transportation; Veterans; Youth-and-Family
Dole Foods,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dollar Rent a Car,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dollar Tree,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Domiciliary Care for Homeless Vets DCHV,1-877-424-3838,https://www.va.gov/homeless/dchv.asp,,,"24/7 residential medical support to help veterans rebuild their lives; The Domiciliary Care Program is the Department of Veterans Affairs (VA) oldest health care program. Established through legislation passed in the late 1860's, the Domiciliary's purpose was to provide a home for disabled volunteer soldiers of the Civil War. Domiciliary care was initially established to provide services to economically-disadvantaged Veterans, and it remains committed to serving that group. The Domiciliary has evolved from a ""Soldiers' Home"" to become an active clinical rehabilitation and treatment program for male and female Veterans and domiciliary programs are is now integrated with the Mental Health Residential Rehabilitation and Treatment Programs (MH RRTPs).",Elderly; Medical; Transportation; Unknown; Veterans
Dominos Pizza,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Donate a Car to Help Our Vets,888-480-8387,https://carshelpingveterans.org/secure/donate-a-car.php?--&gad_source=1&gclid=Cj0KCQiAsOq6BhDuARIsAGQ4-zjsIBuaRxPTa5fcd15nLLkEN_i0Azt_esPPXoYepfbEJqRKpcTN9OwaAndQEALw_wcB,,,Fill out the online form and then they'll call at some time in the next few business days in order to set up a pick up time and location.,Veterans
Donors Choose,,donorschoose.org,,,Helps funding for classrooms,Education
Dow Brands,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dr Pepper/Seven Up,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dream Center's Mary's Home,719-301-5411 719-247-2007,dreamcenters.com,,4360 Montebello Dr Ste 900,"Housing/Shelter for women and children; women's health clinic; single mothers exiting homelessness; emergency housing, women free clinic",Medical; Youth-and-Family
Drivers on Demand,719-574-4334,truckdriversondemand.com,,6789 Bismark Rd 80922,Commercial Driving,Transportation
Dual Diagnosis rehabs,Aspen Ridge Recovery Lakewood,"Choice House, Boulder CO; Continuum Recovery Center, Denver",,"Footprints to Recovery, Centennial, CO","Crossroads in Pueblo, Mountain Spring Recovery, Monument, CO; Peaks Recovery Centers, C/S, CO; Raleigh House, Denver; Red Rock Recovery Center, Lakewood; The Rose House, Louisville CO; Sandstone Care, C/S, CO; Women's Recovery, Denver; Zennia Healing, Denver and Broomfield; Center for Recovery, Denver; Denver Springs, Englewood; Revive Health, Denver; HEART Counseling Center; Turning Point, Fort Collins; Peaks Recovery Centers, C/S; Rites of Passage, Crawford; Northpoint Colorado, Loveland; Acqua Recovery, Fort Collins",Medical; Transportation; Unknown
Dungarvin Colorado,303-423-7660,dungarvin.com,,"4704 Harlan St STE 150, Denver, CO 80212","A little about us: Dungarvin is a national organization of privately owned companies that are dedicated to providing high quality, community-based supports to people with varying support needs. Dungarvin provides a variety of individually tailored services and supports under the Medicaid Home and Community Based Waiver. Other services provided include day services, supported employment, case management, supported foster care, children’s services, respite care, host homes and supports for persons with traumatic brain injury and mental health needs in several states.  Our quality services are flexible and responsive to individual needs and choices, while maintaining the fiscal integrity that ensures the long-term stability and security every person expects and deserves.",Benefits; Employment; Medical; Unknown; Veterans; Youth-and-Family
Dunkin Donuts,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dunlop Tires,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
DuPoint Co,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Duracell,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Dutch Nelson Chapter of the Korean War Veterans Assoc.,719-214-6121  719-322-6959,,pastorstan41228@gmail.com,3400 N Nevada Ave,"If served in Korea from 1945 to present, 11:30 start, 12 lunch, 3rd Saturdays at Elks Lodge; contact Mike Thomason",Veterans
Early Connections Learning Centers,719-632-1754,earlyconnections.org,,"104 E Rio Grande St, C/S, CO 80903","Children aged 6-16 years old: offering nationally accredited programs featuring a literacy-focused curriculum, family support activities, nutritious meals and snacks, physical and behavioral health support, and a team of highly qualified professionals.",Elderly; Food; Medical; Unknown; Youth-and-Family
Eddie Bauer,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
El Grupo Vida,303-335-9875,https://elgrupovida.org/en/home/,elgrupovida@gmail.com,"3443 S Galena St, Ste 120 Denver, 80231","Hispanic/Latinx parents group formed to provide mutual support for people with disabilities or special needs, their parents, family and guardians",Unknown; Youth-and-Family
"El Paso County ""Turnkey Plus"" Mortgage Program",,admin.elpasoco.com/economic-development/single-family-turnkey-mortgage,,,"Maximum amount: 5% of mortgage amount as a grant, 0% interest, 50% of DPA forgiven over first 5 years with remaining 50% forgiven at year 30, no first-time homebuyer requirement",Youth-and-Family
El Paso County Combined Courts,719-452-5000,courts.state.co.us,,"20 E Vermijo St, 80903",Combined Courts,Legal
El Paso County Detox Facility,719-390-2046 719-390-2047 24/7 Ph Number 855-705-8275,https://americanrehabs.com/treatment-centers/el-paso-county-community-detox-facility/,,2723 E Las Vegas St 80906,Available 24 hours/day,Medical; Veterans
El Paso County Health Department,719-578-3199,,,,If a location is beyond unsafe in their messiness,Medical
El Paso County Lawyer Referral,719-473-9700,https://epcbalawyers.org/,,"El Paso County Bar Association PO Box 429, C/S, CO 80901",Lawyer Referral,Legal
El Paso County Petition to Expunge Court Records,,https://www.coloradojudicial.gov/self-help-and-forms/self-help-forms/petition-expunge-court-records,,,https://www.coloradojudicial.gov/sites/default/files/2024-05/JDF302.spanish.pdf,Legal
El Paso County Public Health,719-578-3199,https://www.elpasocountyhealth.org/,,1675 W Garden of the Gods 80907,MIGHT offer some limited health services for people of EPC,Medical
El Pomar Foundation,719-633-7733,elpomar.org,,10 Lake Cir C/S 80906,"Rural not-for-profit grants, paid two-year program program for young professionals for developmental curriculum; free of charge meeting spaces for projects, ideas and strategic plans",Rural; Unknown
Electrolux,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Elevate Apartment Homes,719-636-1115,,,402 Creston Lane 80905,Affordable Housing,Veterans
Elevate Apartmetns,719-507-4215,https://www.elevateaptsco.com/,,"370 Crestone Ln, Colorado Springs, CO, 80905","Policy — Sex Offenses: X, Violence Against Other Person: X, Controlled Substance: X",Housing; Housing-Felon-Friendly
Elite Equine Rescue,719-428-0104,eliteequineco.com,,"1670 Spring Valley Dr, Colorado Springs, CO 80921","Giving performance horses that are in jeopardy of being abused, abandoned, or slaughter-bound a second chance is what Elite Equine CO is all about with rehabilitation, retraining and rehoming. Takes volunteers",Education
Elwood Staffing,719-578-5478,elwoodstaffing.com,,3366 Templeton Gap Rd 80907,"Includes: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality",Medical
Embassy Suites,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Embrave PO Contact NON-PAROLEEs only,,Audia Newby,,Will be a Parole Officer soon,Can also contact to check who has what PO,Legal
Embrave Resource Database,,https://embrave.org/justice-involved-resources/,,,A small list of community resources,Legal
Embrave/CAE,719-633-1469,https://cdoc.colorado.gov/parole-and-re-entry-services/general-information/parole-offices,,888 Garden of the Gods Rd,"Those that are on parole will need this info  If you successfully complete the tx at either place, parole can pay for first month rent and downpayment on an apartment",Employment; Legal; Medical
Emergency Medicaid,800-221-3943,https://www.healthfirstcolorado.com/emergency-medicaid/,,,"This is exactly as it says, it’s emergency Medicaid. That means that it’ll take awhile to get ahold of, no joke, may take a few hours.",Benefits; Elderly; Medical
Emergency Rental Assistance Program,844-926-6632,https://states.aarp.org/colorado/denver-emergency-rental-assistance-program,,Online Application: https://nam12.safelinks.protection.outlook.com/?url=https%3A%2F%2Fcdola.colorado.gov%2Frental-mortgage-assistance&data=04%7C01%7CASnyder%40aarp.org%7C1f4247d777e04a873cce08d972276ddc%7Ca395e38b4b754e4493499a37de460a33%7C0%7C0%7C637666335929169365%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&sdata=u5ECHKEpaHqKRuAtaEziDtptxwyDGyLExqfF3zAce%2Bc%3D&reserved=0,Colorado ERAP,Medical
Emergency Shelters,,Availible Shelter Beds Colorado Springs,,,The Place; Springs Rescue Mission; RJ Montgomery Center,Veterans
Emergency Solutions Grant ESG,cityhousingandcommunityvitality@coloradosprings.gov,https://coloradosprings.gov/esg,,esg_grant_application_guide.pdf,"Temporary (possible annual renewal, done for 2024) funding for housing",Benefits; Housing
Employer Tax Credit,,colorado.gov/cdle/taxcredits,,,"Tax credit for employers that employ people with: vet status, food stamps, ex-felons, ssi, vocational rehab referrals, long term tanf, long-term unemployment recipients, short-term tanf recipients, designated community residents (rural renewal county)",Benefits; Education; Employment; Food; Rural
Empower Special Needs,719-339-5961,http://empowerspecialneeds.org/,,2020 N Academy Blvd STE 376 C/S 80909,Disability services and support organization,Benefits; Education; Unknown
Empowering students through accessible tech with an ipad pro,,https://www.donorschoose.org/project/empowering-students-through-accessible-t/8906677/?utm_source=dc&utm_medium=nextdoor&utm_campaign=project&utm_term=teacher_9236481&rf=nextdoor-dc-2024-11-project-teacher_9236481&challengeid=22211700,,,"Offers an Ipad pro to underprivileged kids, accepting donations",Medical; Youth-and-Family
End Homelessness,202-638-1526,https://endhomelessness.org/,,Washington DC,Nonpartisan organization committed to preventing and ending homelessness in the US,Housing
Energy Outreach Colorado,,energyoutreach.org,,,"affordable energy solutions for Colorado, bill assistance, resource database, sign up for liheap",Resource-Databases
Energy Resource Center,719-591-0772,erc-co.org,,"540 E Cimarron St, Colorado Springs, CO, 80903","Not for profit that helps people check for energy consumption, household carbon footprint, home safety and detection, home insulation, appliance efficiency, solar solutions; save money on energy costs, cut energy waste, assist with affordable housing crisis, application for benefits or weatherization program, energy assessments, post-energy assessment steps, completion of work, final inspection, resource database for energy efficiency",Benefits; Elderly; Resource-Databases
Ent Credit Union,,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwi6zLXD9-GJAxWi1BYFHTKiJicYABAAGgJ0bA&ae=2&aspm=1&co=1&ase=2&gclid=Cj0KCQiAouG5BhDBARIsAOc08RSdSiP3K5mqLYO9euKr2msAYZHYS_3R0zDBINv0It1-rnK--AbYrpkaAkz5EALw_wcB&ei=CiE5Z8XYG_rlwN4PirqfoAs&ohost=www.google.com&cid=CAESVuD2yAI3aNgVKx-3DP9u8zmcGA3npGYEEBZ9wFsMQIjrNLshhvsTrqNZLCGYWecPVi1L2PQ5psLoMMwxKLroOXVd2dytKGaBbaWeAOVYlV2oIPmcesNJ&sig=AOD64_0zNf6Vkft7X0n8RDUdIICbcTXhAQ&q&sqi=2&nis=4&adurl&ved=2ahUKEwjFhafD9-GJAxX6MtAFHQrdB7QQ0Qx6BAgMEAE,,,"Can help credit score improvement, financial planning, budgeting, getting out of debt, building credit, help with housing (homebuying process or when you're struggling with rent or mortgage payments",Benefits; Employment
Entouch Wireless,866-488-8719,http://www.entouchwireless.com/,,,Government phone medicaid phone,Benefits; Medical
Envida Cares,719-633-4677,https://envidacares.org/,,infomoves@envidacares.org,Medicare patients free medical rides,Benefits; Elderly; Medical
Envision: You,303-214-2119,https://www.envision-you.org/,,,"Provides crisis intervention and suicide prevention services to Lesbian, Gay, Bisexual, Transgender and questioning youth, multiple language options, online chat options",LGBTQ; Youth-and-Family
EPC Medicaid Eligibility Line,Sign-up: 719-636-0000,State: 800-359-1991,,,"Will help you sort out any issues with your medicaid application, DHS based, 0000 recommended by Jarrell; for application and recertification for medicaid",Benefits; Medical
Epson,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Equal Justice Initiative,334-269-1803,eji.org/contact/,,"Equal Justice Initiative, 122 Commerce St, Montgomery, AL 36104",Criminal Justice Reform Lawfirm,Legal
Equity Office Property,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
ERMCO Inc,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Estes Valley Crisis Advocates,720-764-5396,https://www.crisisadvocates.org/,,"Estes Park, CO","24/7 crisis line, advocacy, counseling, emergency shelter, & education",Education
ESUSU,Apply: https://rentrelief.esusurent.com/Lending#/terms,esusurent.com/rent-relief,,"Partnered with 'Stable Home Fund', zero-interest, no-fee loans to prevent evictions","eligibility: reside in property that works with ESUSU; owe less than $5,000 in rent; not behind by more than 3 months' rent; not currently in the eviction process. THIS IS A LOAN",Employment; Housing
Eudaimonia,T/P 512-277-2025,https://eudaimoniahomes.com/,,,"Clinical therapy, alcohol and drug screening, employment assistance, volunteer placement, educational planning, peer recovery support, three-phase recovery program; sober living",Education; Employment
Eudaimonia (sober living),512-277-2025,https://eudaimoniahomes.com/,,,"Colorado Springs CO | Policy — Sex Offenses: X, Violence Against Other Person: X, Controlled Substance: X, Manuf cont sub: X, Private Pay: X, M/F/A: M",Housing; Housing-Felon-Friendly
EVANS Tricare,719-526-2273,evans.tricare.mil,,"7700 Arlington Boulevard, Ste 5101, Falls Church, VA 22042-5101",Evans Army Community Hospital for veterans and military; patient advocate for medical patients 719-526-7225,Medical; Veterans
Evergreen Christian Outreach (EChO) Shelter,720-598-2653,,,,County/Region: Mountain Communities | Activation: Open every night mid-Oct through April to accommodate singles and families | Hours: 6p-7a | Serves: Individuals and Families | Shelter/Voucher: Overnight Every Night Shelter | Reservation required: call hotline number and leave a message to be called back | Pets allowed: Yes | Guests must register with a CM to complete criminal background/SO check. | [Threshold note: MOST SEVERE WEATHER IS ACTIVATED WHEN THE TEMPERATURES DROP TO 32 DEGREES WITH PRECIPITATION OR 20 DEGREES; EXTREME WEATHER ACTIVATES EMERGENCY SHELTERING WITH ZERO DEGREE TEMPERATURE OR SUSTAINED WINDCHILL BELOW ZERO DEGREES FOR >6 HOURS; SPECIFIC THRESHOLDS ARE LISTED BELOW],Housing; Weather-Shelter
Everyday Eats,303-866-5700,https://cdhs.colorado.gov/CSFP,,"1575 Sherman St, Denver, CO 80203","support program for qualifying Coloradans age 60+ to help keep healthy food staples in their kitchens. Known nationally as the Commodity Supplemental Food Program, Everyday Eats is quick, it's easy, and it's healthy. Participants can pick up a monthly package of cereal, canned goods and dairy with plenty of low-sodium, diabetic-friendly options to make nutritious, complete meals. Website for income limits",Food; Medical; Unknown
Eviction Clinic,719-471-0380,coloradolegalservices.org,,270 S Tejon Room W-163 80903,Tuesday and Thursday 8:30-11:30am,Legal
Exceptional Family Member Program,800-342-9647,https://www.militaryonesource.mil/special-needs/efmp/,,,Enroll your family member with special needs in EFMP to get the support you need to manage their care and services. For Military/Vets and their family,Unknown; Veterans; Youth-and-Family
Exelon,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Experience Camps,,experiencecamps.org,,,Camps across the nation that allows children who've lost one or both parents to go to camp at reduced or no charge,Education; Youth-and-Family
Express Employment Professionals (North),719-266-9980,expresspros.com,,1234 E Woodmen Ste 110 80920,"Includes: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality",Employment; Medical
Express Employment Professionals (South),719-390-1300,expresspros.com,,2360 S Academy Blvd 80916,"Includes: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality",Employment; Medical
Express Scripts,855-738-1153,express-scripts.com,,Accredo SpecialtyRx: 800-803-2523,Prescription Plan Contact Information,Medical
Expunge Colorado,,expungecolorado.org,,,An nfp that helps finance pro bono legal services for record sealing,Legal
Expunge Records B,,https://www.coloradojudicial.gov/self-help-and-forms/self-help-forms/petition-expunge-court-records,,,,Legal
Expunge Records D,,https://www.coloradojudicial.gov/self-help-and-forms/self-help-forms/petition-expunge-court-records,,,,Legal
Exxon,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Eye Love Care,719-596-2020,https://www.eyelovecare.com/,,"350 Printers Pkwy C/S, CO 80910","Affordable glasses, possible voucher for glasses ONLY IF you request that service and get the eye exam there",Benefits; Transportation
Fact Net,,factnet.org,,,"non-profit educating on global warming, social justice, cults",Education; Legal; Unknown
Fair Market Rents,,https://www.huduser.gov/portal/datasets/il.html,,,Rent assistance program income limit database/info/calculator?,Benefits; Housing
Fairfield Inn,,,,,Employer known to hire individuals with felony records.,Employment; Jobs-Felon-Friendly
Fairway Valley Apartments,719-596-1636,,,3603 Airport Rd 80910,Affordable Housing,Housing
Families and Communities Rising,919-490-5577,fcrinc.org,,"4220 NC-55 Ste 330, Durham, NC 27713","To educate and empower children, families, communities, and organizations by delivering unique educational and supportive services.",Education; Youth-and-Family
Families Matter,,Link to Families Matter Documents Folders Page,,,"All rules and regs for child welfare, have to have access to access papers, all paperworks you could use",Elderly; Youth-and-Family
Families Rising,,https://wearefamiliesrising.org/,,,"Assist adoptive, foster and kinship families, educate child welfare professionals and champion the well-being of children and families",Education; Youth-and-Family
Familly Resource Network CO,719-227-7477,https://familyresourcenetworkco.com/clinical-services/supervised-parenting-time,,"5360 N Academy Blvd Ste 130, Colorado Springs, CO 80918","Resource Database, family visitation, CFI/Meditation, therapy (individual, family, couples), home studies, Contractual adoptive support services, to include home studies, pre and post placement services, and trainings, family preservation, supervised parenting time, classes such as first aid cpr, parenting classes, parent child interactions, life skills",Education; Medical; Veterans; Youth-and-Family
Family Attachment Center,719-632-3204,,,"2913 Beacon St, C/S, CO 80907",Parent child therapy for attachment,Youth-and-Family
Family Care Center,719-540-2100,,,3 locats in C/S,"""Psychiatry & TMS, SUD; 
OP Counseling: All Ages, DBT, CBT, EMDR, Play Therapy""",Youth-and-Family
